,Title,sentiment,sentiment_class,label_encoded
0,Title,0.0,negative,0
1,News,0.0,negative,0
2,Feature,0.0,negative,0
3,"50,000 women expecting in Gaza, 5,000 scheduled to give birth in November",0.0,negative,0
4,Gaza women resort to period-delaying pills amid ongoing crisis,0.0,negative,0
5,"Shaheed Noor Hossain, a beacon of democracy in Bangladesh",0.0,negative,0
6,Cyclone Hamoon leaves long trail of destruction in Cox’s Bazaar,-0.05,negative,0
7,Most Popular NewsPaper in the Bangladesh,0.55,positive,1
8,Bangladesh,0.0,negative,0
9,Investigative Stories,0.0,negative,0
10,Asia,0.0,negative,0
11,World,0.0,negative,0
12,Another managed election will be disastrous,-0.7,negative,0
13,The legacy that Prof Saleemul Huq left behind,-0.2,negative,0
14,How long must we wait for CHT Accord implementation?,-0.05,negative,0
15,"Pratapnagar union cursed by cyclones, erosion",0.0,negative,0
16,"Girls are doing great in HSC, but what about the boys?",0.8,positive,1
17,"Give workers what they are due, regardless of EU concerns",-0.125,negative,0
18,Overhaul the Cyber Security Agency to protect data,0.0,negative,0
19,Make room for freshers in JU halls,0.0,negative,0
20,Why can’t we contain child marriage?,0.0,negative,0
21,The human toll of political expediency,0.0,negative,0
22,Failed response to dengue and air pollution is no coincidence,-0.5,negative,0
23,Electoral lip service cannot hide ugly truths,-0.7,negative,0
24,Anomalies galore in BTCL 5G project,0.0,negative,0
25,A flawed law is easy to exploit,-0.033333333333333326,negative,0
26,A legal but illegitimate election will not serve the people,0.2,positive,1
27,Henry Kissinger’s influence on Bangladesh’s history,0.0,negative,0
28,Column by Mahfuz Anam: Is Awami League heading towards a Pyrrhic victory?,0.0,negative,0
29,Is human civilisation at an inflection point?,0.0,negative,0
30,"COP28 is an opportunity, if we all play our part",0.0,negative,0
31,Our shared commitment to Rohingya refugees,0.0,negative,0
32,Remembering Annisul Huq: The man behind the public persona,-0.2,negative,0
33,India's G20 Presidency and the dawn of a new multilateralism,0.13636363636363635,negative,0
34,How did the U.S. and Bangladesh come to be at the same negotiating table on climate change?,0.0,negative,0
35,The mountains and hills of South Asia’s languages and dialects,0.0,negative,0
36,"Bengal’s Fishermen: Through War, Famine and Partition",0.0,negative,0
37,The night of unspeakable horror: A survivor’s account,0.0,negative,0
38,"Understanding the maverick politician, AK Fazlul Huq",0.0,negative,0
39,Re-discovering the goddess in medieval bengali poetry,0.0,negative,0
40,Dutch perspectives on early-modern Bengal,0.0,negative,0
41,The Weeping King: How Hindustani Music flourished in colonial Bengal,0.0,negative,0
42,When will the government learn from past dengue outbreaks?,-0.25,negative,0
43,Install fire-escape facilities in every building,0.0,negative,0
44,We need more breastfeeding corners,0.5,positive,1
45,Climate change will further widen the class divide,0.0,negative,0
46,Who will listen to the woes of trainee doctors?,0.0,negative,0
47,Concern about widespread gas leaks,0.0,negative,0
48,Plug the brain drain,0.0,negative,0
49,Railway passengers need comfortable seating arrangement,0.4,positive,1
50,Tackling the causes behind fire incidents,-0.4,negative,0
51,Our reality versus government's narrative,0.0,negative,0
52,Poor policy and market management have caused price hikes,-0.4,negative,0
53,"Sued under DSA, woman dies in Rab custody",0.0,negative,0
54,Have we been able to establish a state different from Pakistan?,0.25,positive,1
55,"Brig Gain Shaheed Mantra Khandak, Pusk (Rate)",0.0,negative,0
56,"Citizens, elections, democracy: The Bangladeshi conundrum",0.0,negative,0
57,What Bangladesh and UK can achieve through COP28,0.0,negative,0
58,The need for global unity for the Palestinian cause,0.0,negative,0
59,Smart cybersecurity for a smarter nation,0.21428571428571427,positive,1
60,Are tides turning in Myanmar's civil war?,0.0,negative,0
61,Rohingya repatriation: Can we ever find a viable scheme?,0.0,negative,0
62,Our rising foreign debt and financial worries,-0.0625,negative,0
63,"A blatant, disgraceful act of discrimination",-0.5,negative,0
64,"When youngsters shun politics, the nation should be worried",0.0,negative,0
65,Making workplace safe for construction workers,0.5,positive,1
66,BMW i7 launched in Bangladesh,0.0,negative,0
67,SUST students develop wireless charging electric vehicle,0.0,negative,0
68,"The Xiaomi car is real, and BAIC is making it",0.2,positive,1
69,Kia Carens: The Captain's Chairs are the new first class,0.19318181818181818,negative,0
70,From mild to wild: converting an Impreza into a WRX STi,0.21666666666666667,positive,1
71,Glanza V: the hot hatch from the late 90s,-0.024999999999999994,negative,0
72,A complete list of all the cars featured in Fast X,0.15000000000000002,negative,0
73,Conquering the wild: 10 classic off-road vehicles,0.13333333333333333,negative,0
74,Newly refreshed BMW 5 series launched,0.13636363636363635,negative,0
75,A love letter to the Honda S2000,0.5,positive,1
76,1995 Toyota EP82 starlet GT,0.0,negative,0
77,Hot Wheels - The design evolution,0.25,positive,1
78,'Boot-ylicious' scale model meet - Dhaka Motor Show 2018,0.0,negative,0
79,The twin cam dreams,0.0,negative,0
80,Meet the locally modded Toyota Altezza,0.0,negative,0
81,Jeeps in the wilderness,0.0,negative,0
82,Meet the resto-modded Toyota Corolla AE9X,0.0,negative,0
83,2023 Honda BR-V: Simple gets the job done,0.0,negative,0
84,Hako-Rolla,0.0,negative,0
85,A weekend with the GR Yaris,0.0,negative,0
86,Avik Anwar 3rd in Gulf ProCar Round 2; dedicates win to Palestine,0.20000000000000004,positive,1
87,Avik Anwar secures double win in Round 1 of Gulf Pro Car Championship,0.20000000000000004,positive,1
88,Country’s first electric vehicle manufacturing plant underway in Chattogram,0.25,positive,1
89,Caltex Lubricants partners with Bangladesh’s motorsports legend Avik Anwar,0.0,negative,0
90,BMW shifts focus to 'Neue Klasse' to compete with Tesla,0.0,negative,0
91,Avik Anwar triumphs in Malaysia Championship Series,0.0,negative,0
92,Burnt shell of Ferrari sold at auction for Tk 21.8 crore,0.0,negative,0
93,Lamborghini goes electric: Meet the new Lamborghini Lanzador EV,0.13636363636363635,negative,0
94,Uber launches subscription package for moto drivers in Bangladesh,0.0,negative,0
95,MG5 launches in Bangladesh,0.0,negative,0
96,Avik Anwar conquers Malaysia Championship Series Round 4,-0.2,negative,0
97,Mercedes-Benz buses now available in Bangladesh,0.4,positive,1
98,Government implements carbon tax for multiple vehicle ownership,0.0,negative,0
99,Roadblocks ahead for commercial vehicles: surging demand vs challenges,0.0,negative,0
100,Carbon tax on vehicles and the possible aftermath,0.0,negative,0
101,Uber launches air balloon service in Turkey,0.0,negative,0
102,"Meet Cruise, the self-driving ride-sharing service",0.0,negative,0
103,Toyota unveiled the new Land Cruiser,0.13636363636363635,negative,0
104,2023 McLaren Artura: Revolutionising performance cars,0.0,negative,0
105,Lewis Hamilton breaks record in Formula One racing,0.0,negative,0
106,"Reeves Callaway, legendary Corvette builder, passes away",1.0,positive,1
107,Tesla cars worth US$26k to be made in Germany: reports,0.3,positive,1
108,Solid-state batteries: the future of the EV industry?,0.0,negative,0
109,"India launches its first indigenous electric tractor, CSIR PRIMA ET11",0.25,positive,1
110,India unveils BS-6 Stage-II 'electrified flex-fuel vehicle' prototype,0.0,negative,0
111,Tesla faces trial over deaths caused by autopilot malfunction: reports,0.0,negative,0
112,Here's why Electric Vehicles are better for the environment,0.5,positive,1
113,Audi launches Electric Vehicle charging station in Tejgaon,0.0,negative,0
114,Is Dhaka ready to embrace Electric Vehicles?,0.2,positive,1
115,Toyota unveils all-electric Land Cruiser concept,0.0,negative,0
116,Decoding the EV craze: Are they just a hype?,0.0,negative,0
117,Car modification 101: What to know before revamping your ride,0.0,negative,0
118,Green Delta Capital secures sustainability bond for Runner Automobiles,-0.2,negative,0
119,The Land Cruiser 70 returns,0.0,negative,0
120,Essential tips for driving through waterlogged roads in Dhaka,0.0,negative,0
121,World Motorcycle Day 2023: Embrace the spirit of adventure,0.0,negative,0
122,BMW 735i launched in Bangladesh,0.0,negative,0
123,The unparalleled world of flagship vehicles,0.0,negative,0
124,Turbocharged cars and the ever-lasting bad fuel problem,-0.6999999999999998,negative,0
125,The iPhone 15 Pro's camera can be a true game changer,-0.025000000000000022,negative,0
126,Embracing the inevitable,0.0,negative,0
127,"So long, goodbye",-0.05,negative,0
128,Samsung Galaxy S23 Ultra: The ultimate ultra,0.0,negative,0
129,Every end marks a new beginning,0.13636363636363635,negative,0
130,Huawei completes 25 years in Bangladesh,0.0,negative,0
131,Safeguarding workspaces from escalating cyber attacks: A comprehensive guide,0.0,negative,0
132,The setting sun,0.0,negative,0
133,AI news presenters: What they mean for the future of newsroom,-0.15625,negative,0
134,SophosEncrypt ransomware impersonates cybersecurity firm Sophos,-0.2,negative,0
135,Facebook brings changes to its video streaming services,0.0,negative,0
136,"Meta and Microsoft launch Llama 2, the next-generation Large Language Model",0.21428571428571427,positive,1
137,Apple could soon bring out an iPhone that you can roll,0.0,negative,0
138,What happens when our data gets leaked: Here's how concerned you should be,0.0,negative,0
139,You can now use Google Bard in Bangla,0.0,negative,0
140,China launches its own open-source operating system,0.6,positive,1
141,A ‘better’ pill to swallow,0.5,positive,1
142,Palak wants Elon Musk's Starlink internet in Bangladesh,0.2,positive,1
143,Tata reportedly to become first ever Indian iPhone maker,0.25,positive,1
144,IUT and BUET advance to final round of European Rover Challenge 2023,-0.06666666666666667,negative,0
145,Indian TV channel introduces AI news anchor,0.0,negative,0
146,Notorious BlackCat hackers steal over 170gb sensitive data from Krishi Bank,0.1,negative,0
147,"Meet Rousseau Kazi, the Bangladeshi-born CEO and Co-Founder of the other 'Threads'",-0.125,negative,0
148,Twitter threatens Meta with lawsuit over hiring former employees,0.0,negative,0
149,Infinix introduces Note 30 and Note 30 Pro in Bangladesh,0.0,negative,0
150,TECNO launches CAMON 20 series in Bangladesh,0.0,negative,0
151,"Unravelling the Journey of Abdullah Hil Rakib: Insights on Leadership, Sustainability, and the Future of Business",0.0,negative,0
152,A Tale of Growth and Rejuvenation,0.0,negative,0
153,Abdullah Hil Nakib on TEAM Group’s Secret to Success,-0.05000000000000002,negative,0
